id,word,root,part_of_speech,meaning,link
6009,אָב,-,Noun – masculine,father,/dict/6009-av/
4845,אַבָּא,-,Noun,"dad, father",/dict/4845-aba/
4216,אֵב,א - ב - ב,"Noun – ketel pattern, masculine","bud, shoot (of a plant) (lit.)",/dict/4216-ev/
4084,אָבִיב,א - ב - ב,"Noun – katil pattern, masculine",spring (season),/dict/4084-aviv/
8743,אֲבֵידָה,א - ב - ד,"Noun – ktela pattern, feminine","loss; (in plural) casualties, losses",/dict/8743-aveda/
56,לֶאֱבוֹד,א - ב - ד,Verb – pa'al,"to be lost, to stray, to perish",/dict/56-leevod/
57,לְהֵיאָבֵד,א - ב - ד,Verb – nif'al,"to be lost, to perish",/dict/57-leheaved/
59,לְהִתְאַבֵּד,א - ב - ד,Verb – hitpa'el,to commit suicide,/dict/59-lehitabed/
3636,אִיבּוּד,א - ב - ד,"Noun – kittul pattern, masculine","loss, disappearance",/dict/3636-ibud/
3006,הִתְאַבְּדוּת,א - ב - ד,"Noun – hitkattlut pattern, feminine",suicide,/dict/3006-hitabdut/
6074,לְהַאֲבִיד,א - ב - ד,Verb – hif'il,"to destroy, to demolish, to cause utter loss",/dict/6074-lehaavid/
3637,אֲבֵדָה,א - ב - ד,"Noun – ktela pattern, feminine",loss,/dict/3637-aveda/
3638,אָבוּד,א - ב - ד,Adjective – katul pattern,lost; hopeless,/dict/3638-avud/
58,לְאַבֵּד,א - ב - ד,Verb – pi'el,"to lose, to destroy",/dict/58-leabed/
7199,אֲבַדּוֹן,א - ב - ד,Noun,"destruction, devastation",/dict/7199-avadon/
7061,אָבוֹקָדוֹ,-,Noun – masculine,🥑 avocado,/dict/7061-avokado/
8634,לְאַבְזֵר,א - ב - ז - ר,Verb – pi'el,"to equip, fit out",/dict/8634-leavzer/
3915,אִיבְחוּן,א - ב - ח - ן,"Noun – kittul pattern, masculine","check, diagnosis; diagnostics",/dict/3915-ivchun/
60,לְאַבְחֵן,א - ב - ח - ן,Verb – pi'el,"to diagnose, to analyse",/dict/60-leavchen/
61,לְאַבְטֵחַ,א - ב - ט - ח,Verb – pi'el,"to secure, to protect",/dict/61-leavteach/
4737,אִיבְטוּחַ,א - ב - ט - ח,"Noun – kittul pattern, masculine","protection, guarding, securing",/dict/4737-ivtuach/
5597,אֲבַטִּיחַ,-,Noun – masculine,watermelon,/dict/5597-avatiach/
6957,אַבְטִיפּוּס,-,Noun,prototype,/dict/6957-avtipus/
3849,לֶאֱבוֹת,א - ב - ה,Verb – pa'al,"to desire, to want (archaic)",/dict/3849-leevot/
8521,אוֹבֶךְ,א - ב - ך,"Noun – kotel pattern, masculine","haze, haziness",/dict/8521-ovech/
3195,אֵבֶל,א - ב - ל,"Noun – ketel pattern, masculine",mourning,/dict/3195-evel/
3967,לֶאֱבוֹל,א - ב - ל,Verb – pa'al,"to grieve, to mourn (על) (lit.)",/dict/3967-leevol/
4642,אֲבָל,-,Conjunction,"but, however",/dict/4642-aval/
62,לְהִתְאַבֵּל,א - ב - ל,Verb – hitpa'el,"to mourn, to grieve (על)",/dict/62-lehitabel/
63,לְהִתְאַבֵּן,א - ב - ן,Verb – hitpa'el,to turn into stone,/dict/63-lehitaben/
6055,אֶבֶן,א - ב - ן,"Noun – ketel pattern, feminine",stone,/dict/6055-even/
8449,מְאוּבָּן,א - ב - ן,"Noun – mekuttal pattern, masculine",fossil,/dict/8449-meuban/
7606,לְאַבֵּן,א - ב - ן,Verb – pi'el,"to petrify, to turn to stone; to immobilize, to stun",/dict/7606-leaben/
5476,לְהַאֲבִיס,א - ב - ס,Verb – hif'il,to feed (livestock),/dict/5476-lehaavis/
8217,הַאֲבָסָה,א - ב - ס,"Noun – haktala pattern, feminine",feeding (animals),/dict/8217-haavasa/
64,לְהֵיאָבֵק,א - ב - ק,Verb – nif'al,"to struggle, to wrestle",/dict/64-leheavek/
4738,אִיבּוּק,א - ב - ק,"Noun – kittul pattern, masculine",֔powdering; dusting,/dict/4738-ibuk/
5458,מַאֲבָק,א - ב - ק,"Noun – miktal pattern, masculine","strife, struggle, fight",/dict/5458-maavak/
3328,אָבָק,א - ב - ק,"Noun – katal pattern, masculine","dust, powder",/dict/3328-avak/
3681,לְהִתְאַבֵּק,א - ב - ק,Verb – hitpa'el,"to wrestle, to struggle",/dict/3681-lehitabek/
